text,username,month
Tata harrier me har roj nahi dikat ham pareshan ho chuke hai 100 se jyada to code aa rahe hai,official____ms, dec
"Namaste @official____ms, hum aapko horahi samasya ko samajhte hai. Kripya apni contact number aur dealer details humare saath share karein, taaki hum aapki sahayata kar sakein.",tataaltrozofficial, dec
@tataaltrozofficial 7851896079,official____ms, dec
Dhanyawaad. Humne aapki details aur pareshaani ki jaankari apni team ke saath share ki hai. Ve jald hi aap se sampark karenge.,tataaltrozofficial, dec
Connecting all car app?!,tamil.guna.5, dec
"Namaste, hamein vishwas hai ki hamari team aapki chinta ka samaadhaan karne ke liye aapke sampark mein hain. Kisee bhi atirikt sahaayata ke liye ham aapse unse judne ka anurodh karte hain aur ve nishchit roop se aapki madad karenge.",tataaltrozofficial, dec
"On 16/12/2025 midnight while traveling to Tuljapur, we discovered a check light of TPMS sensor. Even after checking tyre pressure the check light didnt switch off. On 18/12/2025 i rushed to Sudarshan Tata Service Centre, Bhiwandi for the same. I got my car serviced same day.
On 20/12/2025 my brand-new Tata Curvv, purchased on 30th November 2025. It is deeply alarming and unacceptable that a vehicle which is less than 15 days old has already suffered a complete breakdown.
On 20th December 2025, while travelling with my family—including children—in Lonavala, the vehicle suddenly failed to start and displayed a “DCA Fault” warning. As a result, my entire family was stranded on the roadside for nearly 5–6 hours, waiting for assistance from Tata Motors Roadside Assistance.
This incident was extremely distressing, unsafe, and humiliating, especially with children present. What worsened the situation was the highly delayed and unsatisfactory response from the RSA team, which is unacceptable for a brand-new vehicle under warranty.
The car has now been shifted to the nearest authorized Tata Motors service center, however, I wish to clearly state that I am not willing to accept repeated repairs, temporary fixes, or assurances for a vehicle that has failed within days of purchase.
A complete breakdown due to a DCA fault in a 15-day-old car strongly indicates a manufacturing or critical system defect. Such an incident has completely eroded my trust in the safety and reliability of this vehicle.",swastikinfrastructure, dec
text,username, dec
Some cars get updates. Some get reborn,satyacrt, dec
Safari storme ko bhi relaunch kar do,shubham_bhandari98, dec
Sierra,themotorcycle_enthusiastic, dec
Bolero wheel covers on sierra,theguyw_400z, dec
4x4 missing,traveller_suri, dec
Waiting for one more legend tata sumo,gearhead_murtaza, dec
@traveller_suri logic missing,ratnam_srivastava, dec
Old,its_sagar_no_1, dec
"Bad fit and finish poor quality material used in interior, little disappointed",santho_nathan, dec
Car of the Year 2025,dev.bgmi.18, dec
"Bhaiii Safari Storme toh nahi. But, in Future Safari Classic Launch hogi.",yash_chaudhari2004, dec
@traveller_suri Coming Soon,yash_chaudhari2004, dec
@dev.bgmi.18,yash_chaudhari2004, dec
@gearhead_murtaza,yash_chaudhari2004, dec
@gearhead_murtaza i am restoring tata sumo,gearhead_murtaza, dec
https://www.instagram.com/p/DSsSVxfEmKO/?igsh=MWd5YnJqNjZxbTQ2cg==,aston_ssss, dec
Good observation. @tatamotorscars you need to be careful when selecting images,karishhumar, dec
What a comeback,carbikegadi, dec
Old is even bolder..,divithnaren, dec
Sierra — a name that carries its legacy every time you say it.,thetatasierra, dec
The OG Sierra truly left a mark - and it’s time to build on that legacy  This return isn’t just a comeback. It’s the beginning of a new chapter.,thetatasierra, dec
"From whispers of nostalgia to a roar that echoes across generations - Sierra’s return is more than a comeback, it’s a legacy reborn.",thetatasierra, dec
Tata could have atleast given it RWD and a decent sized motor,_indraneil_, dec
Old is Gold,pravi_2910, dec
@123.rishabh this is what happens  because Tata Spares are not easily  available ....,thegreatindianclassiccars, dec
